sigma,omega,fdm_s1,fdm_cut_N1,fdm_cut_N3,fdm_full,M_cut_N1,binds_N1,M_cut_N3,binds_N3,file
0.2,22.69935,2.4997356862712183e-20,4.456827105406207e-20,4.456827105406207e-20,4.456827105406207e-20,961444300.0,array_max,961444300.0,array_max,sigma0.2_W22.69935_l1e-02_h1e+06.txt
0.2,3.419952,3.9450598743366253e-26,2.645734829235857e-26,2.645734829235857e-26,2.645734829235857e-26,651714.3,array_max,651714.3,array_max,sigma0.2_W3.419952_l1e-02_h1e+06.txt
0.2,388.1533,2.0824840199936005e-19,1.2371620086925306e-13,1.2371620086925306e-13,1.3121227567646943e-13,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.2_W388.1533_l1e-02_h1e+06.txt
0.2,58.48035,1.6744601889030612e-19,2.0076008871188247e-17,2.0076008871188247e-17,2.0076008871188256e-17,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.2_W58.48035_l1e-02_h1e+06.txt
0.2,8.810827,4.749311797744822e-23,3.1828559192861635e-23,3.1828559192861635e-23,3.1828559192861635e-23,26595420.0,array_max,26595420.0,array_max,sigma0.2_W8.810827_l1e-02_h1e+06.txt
0.3047995,0.2946896,1.7348681015543552e-35,1.1579682957707612e-35,1.1579682957707612e-35,1.1579682957707612e-35,44.69884,array_max,44.69884,array_max,sigma0.3047995_W0.2946896_l1e-04_h1e+06.txt
0.3118551,0.2867222,1.7335497522984068e-35,1.1571032972564758e-35,1.1571032972564758e-35,1.1571032972564758e-35,41.19972,array_max,41.19972,array_max,sigma0.3118551_W0.2867222_l1e-04_h1e+06.txt
0.3230841,0.3459551,5.521653485745887e-33,3.702166862090448e-33,3.702166862090448e-33,3.702166862090448e-33,98.88291,array_max,98.88291,array_max,sigma0.3230841_W0.3459551_l1e-04_h1e+06.txt
0.3267663,0.4280215,3.1869965575488427e-32,2.1308637884675966e-32,2.1308637884675966e-32,2.1308637884675966e-32,252.2218,array_max,252.2218,array_max,sigma0.3267663_W0.4280215_l1e-04_h1e+06.txt
0.3436174,0.2754752,1.2542127568712607e-34,8.623934240602939e-35,8.623934240602939e-35,8.623934240602939e-35,40.57554,array_max,40.57554,array_max,sigma0.3436174_W0.2754752_l1e-04_h1e+06.txt
0.3593814,0.129155,6.214661490185287e-37,4.1572499141640196e-37,4.1572499141640196e-37,4.1572499141640196e-37,1.448912,array_max,1.448912,array_max,sigma0.3593814_W0.129155_l1e-02_h1e+06.txt
0.3593814,0.4641589,7.820031973943649e-32,5.225074179458728e-32,5.225074179458728e-32,5.225074179458728e-32,410.8892,array_max,410.8892,array_max,sigma0.3593814_W0.4641589_l1e-02_h1e+06.txt
0.3593814,1000.0,2.6996235090336482e-17,2.2053435532899797e-11,2.2053435532899797e-11,3.139694472230591e-11,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.3593814_W1000.0_l1e-02_h1e+06.txt
0.3593814,1.668101,5.1564699114542423e-26,3.455483181385622e-26,3.455483181385622e-26,3.455483181385622e-26,79090.38,array_max,79090.38,array_max,sigma0.3593814_W1.668101_l1e-02_h1e+06.txt
0.3593814,21.54435,6.058294207535405e-18,1.0898299556308464e-17,1.0898299556308464e-17,1.0898299556308464e-17,1509664000.0,array_max,1509664000.0,array_max,sigma0.3593814_W21.54435_l1e-02_h1e+06.txt
0.3593814,278.2559,2.6483508311354637e-17,3.95534229892462e-12,3.95534229892462e-12,4.161935229933721e-12,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.3593814_W278.2559_l1e-02_h1e+06.txt
0.3593814,5.994843,2.396550014949786e-21,1.6102357931015904e-21,1.6102357931015904e-21,1.6102357931015904e-21,12075790.0,array_max,12075790.0,array_max,sigma0.3593814_W5.994843_l1e-02_h1e+06.txt
0.3593814,77.42637,2.3604022208187958e-17,1.3150697760569012e-14,1.3150697760569012e-14,1.31506977744527e-14,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.3593814_W77.42637_l1e-02_h1e+06.txt
0.3705834,0.3940786,4.637304112039964e-32,3.0998306524445146e-32,3.0998306524445146e-32,3.0998306524445146e-32,215.2816,array_max,215.2816,array_max,sigma0.3705834_W0.3940786_l1e-04_h1e+06.txt
0.3859135,0.315246,1.6953504487886044e-32,1.1344989485509745e-32,1.1344989485509745e-32,1.1344989485509745e-32,88.11144,array_max,88.11144,array_max,sigma0.3859135_W0.315246_l1e-04_h1e+06.txt
0.3928498,0.3966978,6.482777577447236e-32,4.332223512494904e-32,4.332223512494904e-32,4.332223512494904e-32,242.0584,array_max,242.0584,array_max,sigma0.3928498_W0.3966978_l1e-04_h1e+06.txt
0.393093,0.3854847,5.778132435739709e-32,3.8612512044395423e-32,3.8612512044395423e-32,3.8612512044395423e-32,213.814,array_max,213.814,array_max,sigma0.393093_W0.3854847_l1e-04_h1e+06.txt
0.4011909,0.3842016,6.32452215372286e-32,4.2264090282916653e-32,4.2264090282916653e-32,4.2264090282916653e-32,217.9299,array_max,217.9299,array_max,sigma0.4011909_W0.3842016_l1e-04_h1e+06.txt
0.4049623,0.2563503,4.732758119294798e-33,3.174727416795584e-33,3.174727416795584e-33,3.174727416795584e-33,38.95432,array_max,38.95432,array_max,sigma0.4049623_W0.2563503_l1e-04_h1e+06.txt
0.4334254,0.3501213,6.355630691916491e-32,4.2472861003349884e-32,4.2472861003349884e-32,4.2472861003349884e-32,165.4547,array_max,165.4547,array_max,sigma0.4334254_W0.3501213_l1e-04_h1e+06.txt
0.449059,0.3367929,6.4743887670139e-32,4.32695762833943e-32,4.32695762833943e-32,4.32695762833943e-32,147.8725,array_max,147.8725,array_max,sigma0.449059_W0.3367929_l1e-04_h1e+06.txt
0.4624155,0.2546287,1.8498029211435923e-32,1.237435344369343e-32,1.237435344369343e-32,1.237435344369343e-32,46.62491,array_max,46.62491,array_max,sigma0.4624155_W0.2546287_l1e-04_h1e+06.txt
0.5152603,0.2,7.948715369989488e-33,5.3245102218397296e-33,5.3245102218397296e-33,5.3245102218397296e-33,19.61998,array_max,19.61998,array_max,sigma0.5152603_W0.2_l1e-02_h1e+06.txt
0.5152603,0.5152603,6.29338994932929e-29,4.212372885687584e-29,4.212372885687584e-29,4.212372885687584e-29,1068.403,array_max,1068.403,array_max,sigma0.5152603_W0.5152603_l1e-02_h1e+06.txt
0.5152603,1000.0,6.145125532794202e-16,2.0557384291916845e-10,2.0557384291916845e-10,3.276666416873595e-10,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.5152603_W1000.0_l1e-02_h1e+06.txt
0.5152603,1.327466,1.3568897533390689e-25,9.079780724347515e-26,9.079780724347515e-26,9.079780724347515e-26,50316.33,array_max,50316.33,array_max,sigma0.5152603_W1.327466_l1e-02_h1e+06.txt
0.5152603,150.663,6.001859728298752e-16,5.025965051771648e-12,5.025965051771648e-12,5.0403535057227336e-12,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.5152603_W150.663_l1e-02_h1e+06.txt
0.5152603,22.69935,1.4688085271127682e-16,3.7115601148037226e-16,3.7115601148037226e-16,3.7115601148037226e-16,2704187000.0,array_max,2704187000.0,array_max,sigma0.5152603_W22.69935_l1e-02_h1e+06.txt
0.5152603,3.419952,1.4043927591970137e-21,9.448346268410485e-22,9.448346268410485e-22,9.448346268410485e-22,2105493.0,array_max,2105493.0,array_max,sigma0.5152603_W3.419952_l1e-02_h1e+06.txt
0.5152603,388.1533,6.120961608064929e-16,8.878462060272893e-11,8.878462060272893e-11,1.1400518968840333e-10,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.5152603_W388.1533_l1e-02_h1e+06.txt
0.5152603,58.48035,5.169401744715738e-16,6.68555770243565e-14,6.68555770243565e-14,6.685557702438615e-14,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.5152603_W58.48035_l1e-02_h1e+06.txt
0.5152603,8.810827,8.606311955332026e-19,5.789426040879973e-19,5.789426040879973e-19,5.789426040879973e-19,78789630.0,array_max,78789630.0,array_max,sigma0.5152603_W8.810827_l1e-02_h1e+06.txt
0.5698953,0.3716647,1.4891648108459306e-29,9.994885311328782e-30,9.994885311328782e-30,9.994885311328782e-30,318.1613,array_max,318.1613,array_max,sigma0.5698953_W0.3716647_l1e-04_h1e+06.txt
