sigma,omega,fdm_trap,fdm_vegas,meq_vegas,Q_f,Q_m,M_lo,M_hi,file
0.2,0.2,2.2571246517102847e-40,2.257124290795195e-40,0.08305995152551146,0.5231801514635954,0.5231801514635954,0.001672082,3.274708,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W0.2_l1e-02_h1e+06.txt
0.2,0.5152603,2.0368543209589507e-35,2.0368467550813768e-35,2.3261859460114676,0.19248018552791807,0.19248018552791807,0.001487988,252.9441,/data/homezvol0/jgpaine/sashimi+DD/out2_100pt/sigma0.2_W0.5152603_l1e-02_h1e+06.txt
0.2,1000.0,2.0898070083516452e-19,2.0898065175285137e-19,530826.4587056339,0.22700311227605116,0.22700311227605116,0.001686053,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W1000.0_l1e-02_h1e+06.txt
0.2,1.327466,7.234503525906865e-30,7.234490003978697e-30,96.93383425428524,0.6535546071614533,0.5375284548879469,0.001547875,14043.72,/data/homezvol0/jgpaine/sashimi+DD/out2_100pt/sigma0.2_W1.327466_l1e-02_h1e+06.txt
0.2,150.663,2.030425406043674e-19,2.0304269018390816e-19,532049.4494727683,0.972071592059208,0.7927954734404609,0.001686053,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W150.663_l1e-02_h1e+06.txt
0.2,22.69935,2.4997342022480977e-20,2.4997356862712183e-20,436716.4691715293,0.17594726581716613,0.010863650936840257,0.0016475,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W22.69935_l1e-02_h1e+06.txt
0.2,3.419952,3.94505374613313e-26,3.9450598743366253e-26,1995.2676915741895,0.2651513359952711,0.2651513359952711,0.001578013,651714.3,/data/homezvol0/jgpaine/sashimi+DD/out2_100pt/sigma0.2_W3.419952_l1e-02_h1e+06.txt
0.2,388.1533,2.0824879443446614e-19,2.0824840199936005e-19,531699.6817241563,0.7683165221672109,0.13835957489953293,0.001686053,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W388.1533_l1e-02_h1e+06.txt
0.2,58.48035,1.6744625489006586e-19,1.674460188903061e-19,532272.9916483022,0.7708945666338065,0.11057693441590903,0.001675649,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W58.48035_l1e-02_h1e+06.txt
0.2,8.810827,4.7493241004128893e-23,4.7493117977448214e-23,38079.165545834665,0.008265066902115772,0.008265066902115772,0.001618064,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.2_W8.810827_l1e-02_h1e+06.txt
0.3047995,0.2946896,1.7348717433658642e-35,1.7348681015543552e-35,0.418407893466691,0.22532842848859624,0.22532842848859624,0.0002720063,44.69884,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3047995_W0.2946896_l1e-04_h1e+06.txt
