x, y
-7.610119537409673, -0.07102004277117421
-7.5251567151897785, -0.11607897747053264
-7.448766475666133, -0.17536181429352962
-7.334899238491345, -0.2612025662704531
-7.334899238491345, -0.2612025662704531
-7.254918388414296, -0.3379917441686975
-7.188985802127437, -0.4061769532998458
-7.096841758800736, -0.485353359526533
-7.017040439251358, -0.5584622270850947
-6.918747475351955, -0.6483314268662654
-6.815652069837375, -0.7343213806137165
-6.685851498331862, -0.8575123091460685
-6.513367543872773, -1.0241209529019744
-6.297123023294086, -1.2142040085542347
-6.065034933648509, -1.415278261302034
-5.861626845798238, -1.6002387228328443
-5.592331054293024, -1.8465211120505296
-5.273395071887015, -2.1525836773263043
-5.030086324262054, -2.3409757795792507
-4.692299636450681, -2.613169542945243
-4.522912583593902, -2.8194161237380015
-4.2630421447913704, -3.003928979957229
-4.001645696503643, -3.2225095737802754
-3.747789530378061, -3.365395136022281
-3.4524618123606765, -3.4898294126423632
-3.182358133480947, -3.541304023474412
-2.825810505528044, -3.49579748346347
-2.4300354572792147, -3.346297309394738
-2.1918882123247703, -3.2208186203809617
-1.910922936520997, -3.0446113293877755
-1.6852979458715458, -2.80668423931964
-1.4090902290510314, -2.5006216740438654
-1.1740847683308147, -2.1825732332023673
-0.9526338624496935, -1.9416621077236782
-0.748552535120659, -1.7145272790570447
-0.40389880462590266, -1.4901278161834186
-0.08096826797923384, -1.3454518326950813
0.24200715129935269, -1.2573730541602426
0.6092368456486295, -1.1503456507683891
0.8485959216648471, -1.107524742626946
